,회사명,채용정보,채용링크,요구경력,요구학벌,직장위치,지원종료일
97,㈜로킷헬스케어,IT 경력 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30468387?Oem_Code=C1&logpath=1,경력2년↑,대졸↑,서울 금천구,~01/07(화)
98,㈜아이서티,"경력직 채용(빅데이터, AI. 대전시 근무)",http://www.jobkorea.co.kr//Recruit/GI_Read/30439151?Oem_Code=C1&logpath=1,경력,석사↑,대전 전지역 외,~01/03(금)
99,㈜무한정보기술,각 분야별 신입 및 경력사원 모집 (GIS / DB구축 / AI / 웹시스템개발),http://www.jobkorea.co.kr//Recruit/GI_Read/30438071?Oem_Code=C1&logpath=1,신입·경력,학력무관,서울 영등포구,~01/03(금)
100,서울아산병원 진다방사선과,서울아산병원 의료영상지능실현연구실 채용공고(개발팀),http://www.jobkorea.co.kr//Recruit/GI_Read/30433336?Oem_Code=C1&logpath=1,신입·경력,대졸↑,서울 송파구,~01/03(금)
101,서울아산병원 진다방사선과,서울아산병원 의료영상지능실현연구실 데이터분석팀 연구원 모집,http://www.jobkorea.co.kr//Recruit/GI_Read/30433049?Oem_Code=C1&logpath=1,신입·경력,대졸↑,서울 송파구,~01/03(금)
102,㈜케이씨넷,빅데이터 분석가 및 개발자 경력직 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30430370?Oem_Code=C1&logpath=1,경력2년↑,대졸↑,대전 전지역 외,~12/19(목)
103,㈜유원지리정보시스템,"자율주행 지원 소프트웨어 개발 (ADAS, 영상처리/인식, 딥러닝, 정밀지도)",http://www.jobkorea.co.kr//Recruit/GI_Read/30425077?Oem_Code=C1&logpath=1,경력3년↑,초대졸↑,경기 의왕시,~12/31(화)
104,㈜파워엔지니어링,증강현실(AR) 및 머신비전  경력사원 모집,http://www.jobkorea.co.kr//Recruit/GI_Read/30423813?Oem_Code=C1&logpath=1,경력2년↑,학력무관,경기 성남시,~02/01(토)
105,에이치앤씨파트너스,Big Data 분석 경력직 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30417487?Oem_Code=C1&logpath=1,경력2년↑,석사↑,경기 성남시,~01/02(목)
106,에이치앤씨파트너스,AI분야 (AI 영상인식 / AI 자연어처리),http://www.jobkorea.co.kr//Recruit/GI_Read/30417485?Oem_Code=C1&logpath=1,경력2년↑,석사↑,경기 성남시,~01/02(목)
107,메디리타,인공지능 S/W 개발자 모집,http://www.jobkorea.co.kr//Recruit/GI_Read/30370933?Oem_Code=C1&logpath=1,경력2년↑,학력무관,서울 구로구 외,~12/27(금)
108,㈜머니브레인,"[인공지능 기업] 머신러닝 엔지니어, 딥러닝 엔지니어 경력 모집",http://www.jobkorea.co.kr//Recruit/GI_Read/30353636?Oem_Code=C1&logpath=1,경력3년↑,석사↑,서울 강남구 외,~12/16(월)
109,㈜자이냅스,Software Engineer - Frontend / Backend,http://www.jobkorea.co.kr//Recruit/GI_Read/30349833?Oem_Code=C1&logpath=1,경력3년↑,학력무관,서울 강남구,~12/25(수)
110,데이터플로,인공지능 / 빅데이터 분석 채용 / 데이터 사이언티스트,http://www.jobkorea.co.kr//Recruit/GI_Read/30336453?Oem_Code=C1&logpath=1,경력무관,학력무관,서울 강남구 외,~01/22(수)
111,㈜보인정보기술,분석연구팀 신입 모집,http://www.jobkorea.co.kr//Recruit/GI_Read/30335054?Oem_Code=C1&logpath=1,신입,대졸↑,서울 서초구,~12/23(월)
112,Nextbeat,[도쿄근무 일본기업] AI개발엔지니어 모집 / 5개직종 동시모집,http://www.jobkorea.co.kr//Recruit/GI_Read/30332591?Oem_Code=C1&logpath=1,경력1년↑,초대졸↑,일본 도쿄 외,~12/22(일)
113,오드컨셉㈜,Python 개발자 - 3년차 이상,http://www.jobkorea.co.kr//Recruit/GI_Read/30332192?Oem_Code=C1&logpath=1,경력3년↑,학력무관,서울 강남구,~12/22(일)
114,에이치앤씨파트너스,FPGA 엔지니어 경력직 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30330506?Oem_Code=C1&logpath=1,경력4년↑,대졸↑,경기 안양시,~12/22(일)
115,그렉터,"IoT SW개발자, 데이터사업본부 팀원 채용합니다",http://www.jobkorea.co.kr//Recruit/GI_Read/30314261?Oem_Code=C1&logpath=1,경력2년↑,대졸↑,서울 송파구,상시채용
116,㈜머니브레인,"[인공지능 기업]머신러닝 엔지니어, 딥러닝 엔지니어 모집",http://www.jobkorea.co.kr//Recruit/GI_Read/30308793?Oem_Code=C1&logpath=1,경력3년↑,석사↑,서울 강남구,~12/20(금)
117,㈜에프피에이,(주)에프피에이 기술연구소 정규직 채용 건,http://www.jobkorea.co.kr//Recruit/GI_Read/30299001?Oem_Code=C1&logpath=1,경력1년↑,학력무관,경기 화성시,~12/19(목)
118,오드컨셉㈜,Machine Learning Engineer/Researcher(머신러닝 엔지니어/연구원) - 3년차 이상,http://www.jobkorea.co.kr//Recruit/GI_Read/30285962?Oem_Code=C1&logpath=1,경력3년↑,학력무관,서울 강남구,~12/18(수)
119,㈜뉴냅스,"[서울아산병원 연구중심병원 육성과제] 인공지능 연구개발 담당자 (신입, 경력)",http://www.jobkorea.co.kr//Recruit/GI_Read/30279032?Oem_Code=C1&logpath=1,신입·경력1년↑,초대졸↑,서울 송파구,~12/18(수)
120,대기업,"AI, Big Data 개발 (Smart Factory)",http://www.jobkorea.co.kr//Recruit/GI_Read/30532823?PageGbn=HH&logpath=1,경력4년↑,박사↑,전남 광양시,~01/14(화)
121,대기업,긴급) 최고 대기업 - DATA Engineer (5년 이상) - 최우대,http://www.jobkorea.co.kr//Recruit/GI_Read/30528744?PageGbn=HH&logpath=1,경력3년↑,학력무관,서울 전지역,~01/13(월)
122,대기업,AI (인공지능) 음성인식 기술 개발 (대기업 기술연구소),http://www.jobkorea.co.kr//Recruit/GI_Read/30528512?PageGbn=HH&logpath=1,경력4년↑,대졸↑,서울 서초구,~12/19(목)
123,외국계 기업,[Global Company] ML-Algorithm 기획/개발 (사원-차장급),http://www.jobkorea.co.kr//Recruit/GI_Read/30527889?PageGbn=HH&logpath=1,경력2년↑,초대졸↑,서울 용산구,~01/13(월)
124,중소기업(300명이하),NGS 시퀀싱 빅데이터 AI 분석 신약센터 연구원 신약센터 PM 경력,http://www.jobkorea.co.kr//Recruit/GI_Read/30526906?PageGbn=HH&logpath=1,경력1년↑,대졸↑,서울 마포구,~12/18(수)
125,외국계 기업,엔센스코리아(주) ML/DL 연구원,http://www.jobkorea.co.kr//Recruit/GI_Read/30519571?PageGbn=HH&logpath=1,경력3년↑,대졸↑,서울 구로구 외,~01/12(일)
126,중소기업(300명이하),NGS 시퀀싱 빅데이터 AI 분석 신약센터 연구원 신약센터 PM,http://www.jobkorea.co.kr//Recruit/GI_Read/30516175?PageGbn=HH&logpath=1,경력1년↑,대졸↑,서울 마포구,~12/26(목)
127,대기업,(국내 유명 대형 저축은행) 데이터분석 기획/개발 (계장-차장급),http://www.jobkorea.co.kr//Recruit/GI_Read/30498559?PageGbn=HH&logpath=1,경력3년↑,대졸↑,서울 전지역,~01/10(금)
128,중소기업(300명이하),Data scientist (Algorithm developer) 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30494592?PageGbn=HH&logpath=1,경력,석사↑,서울 송파구,~01/10(금)
129,중소기업(300명이하),(경력) 머신러닝/Python 정규직 채용 공고,http://www.jobkorea.co.kr//Recruit/GI_Read/30486646?PageGbn=HH&logpath=1,경력2년↑,학력무관,서울 강남구,~12/16(월)
130,대기업,"다국어 AI (인공지능) 기술 개발, C++, python,Java (대기업 연구소)",http://www.jobkorea.co.kr//Recruit/GI_Read/30484364?PageGbn=HH&logpath=1,경력4년↑,대졸↑,서울 서초구,~12/20(금)
131,IT 대기업,[IT 대기업] 추천 시스템 연구/개발,http://www.jobkorea.co.kr//Recruit/GI_Read/30480647?PageGbn=HH&logpath=1,경력2년↑,대졸↑,경기 성남시,~01/08(수)
132,대기업 계열사·자회사,[대그룹 계열사] 로봇 제어 SW 개발 경력직 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30479555?PageGbn=HH&logpath=1,경력4년↑,대졸↑,서울 종로구,~01/08(수)
133,중소기업(300명이하),자율주행 알고리즘 개발/유명 그룹사 계열 로봇 제조 기업,http://www.jobkorea.co.kr//Recruit/GI_Read/30473147?PageGbn=HH&logpath=1,경력5년↑,대졸↑,서울 금천구,~12/18(수)
134,중소기업(300명이하),[리메이크디지털] 엔진 개발자(Core Developer) 경력직,http://www.jobkorea.co.kr//Recruit/GI_Read/30470533?PageGbn=HH&logpath=1,경력3년↑,초대졸↑,서울 강남구 외,~01/08(수)
135,중소기업(300명이하),[리메이크디지털] 백엔드 개발자(Backend Engineer) 3년차 이상,http://www.jobkorea.co.kr//Recruit/GI_Read/30470516?PageGbn=HH&logpath=1,경력3년↑,초대졸↑,서울 강남구 외,~01/08(수)
136,대기업,[주요SI대기업] 머신러닝 및 딥러닝 분석(비전),http://www.jobkorea.co.kr//Recruit/GI_Read/30468648?PageGbn=HH&logpath=1,경력5년↑,석사↑,서울 전지역,~01/07(화)
137,대기업,긴급) DATA Engineer (5년 이상) - 최고 대기업 - 최우대,http://www.jobkorea.co.kr//Recruit/GI_Read/30467487?PageGbn=HH&logpath=1,경력3년↑,학력무관,서울 전지역,~01/07(화)
138,중소기업(300명이하),머신러닝 엔지니어 HPC시스템 인프라 엔지니어 DevOps 경력자,http://www.jobkorea.co.kr//Recruit/GI_Read/30465625?PageGbn=HH&logpath=1,경력3년↑,대졸↑,서울 강남구,~12/22(일)
139,대기업,[주요SI대기업] 제조분야 빅데이터 분석(대리-차장),http://www.jobkorea.co.kr//Recruit/GI_Read/30463588?PageGbn=HH&logpath=1,경력5년↑,대졸↑,충북 청주시,~01/05(일)
140,대기업,인공지능 분야 석박사 연구원 모집,http://www.jobkorea.co.kr//Recruit/GI_Read/30425038?PageGbn=HH&logpath=1,경력1년↑,석사↑,서울 강남구,~12/16(월)
141,대기업,머신러닝/딥러닝 엔지니어 모집,http://www.jobkorea.co.kr//Recruit/GI_Read/30424762?PageGbn=HH&logpath=1,경력2년↑,석사↑,서울 강남구,~12/16(월)
142,대기업,인공지능 연구개발 요원 모집,http://www.jobkorea.co.kr//Recruit/GI_Read/30424748?PageGbn=HH&logpath=1,경력2년↑,석사↑,서울 강남구,~12/16(월)
143,중소기업(300명이하),인공지능 보고서 서비스 개발 운영 (대리-과장급) - 소프트웨어 개발 공급기업,http://www.jobkorea.co.kr//Recruit/GI_Read/30419950?PageGbn=HH&logpath=1,경력4년↑,대졸↑,서울 용산구,~12/19(목)
144,...,추천 시스템 연구/개발,http://www.jobkorea.co.kr//Recruit/GI_Read/30419091?PageGbn=HH&logpath=1,경력1년↑,대졸↑,경기 성남시,~01/02(목)
145,외국계 기업,[외국계 솔루션 기업] 분석 Pre-sales Consultant(분석 전문가),http://www.jobkorea.co.kr//Recruit/GI_Read/30418941?PageGbn=HH&logpath=1,경력7년↑,석사↑,서울 강남구,~01/02(목)
146,대기업,"[주요 SI대기업] 에너지분야 Data Scientist (분석설계자/PL, PM)",http://www.jobkorea.co.kr//Recruit/GI_Read/30417046?PageGbn=HH&logpath=1,경력5년↑,대졸↑,충북 청주시,~01/01(수)
147,외국계 기업,[Global Company] Machine Learning (사원-차장급),http://www.jobkorea.co.kr//Recruit/GI_Read/30415024?PageGbn=HH&logpath=1,경력2년↑,초대졸↑,서울 용산구,~01/01(수)
148,대기업,"대기업(연구센터) AI 플랫폼 연구개발, 석사이상",http://www.jobkorea.co.kr//Recruit/GI_Read/30407124?PageGbn=HH&logpath=1,경력1년↑,석사↑,서울 전지역,~01/01(수)
149,대기업,"대기업 (연구센터) 머신러닝 / 딥러닝 경력자, 석사이상",http://www.jobkorea.co.kr//Recruit/GI_Read/30407105?PageGbn=HH&logpath=1,경력1년↑,석사↑,서울 전지역,~01/01(수)
150,중소기업(300명이하),주식 및 금융시장 분석 시스템 개발 (대리-과장급) - 소프트웨어 개발 공급기업,http://www.jobkorea.co.kr//Recruit/GI_Read/30400890?PageGbn=HH&logpath=1,경력4년↑,대졸↑,서울 용산구,~12/17(화)
151,대기업,국내 대기업 인공지능 딥러닝 머신러닝 DATA 전문가 긴급 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30384649?PageGbn=HH&logpath=1,경력4년↑,대졸↑,서울 강남구,~12/28(토)
152,중견기업(300명이상),"소프트웨어 개발(3년,주임대리,분당)",http://www.jobkorea.co.kr//Recruit/GI_Read/30381517?PageGbn=HH&logpath=1,경력3년↑,대졸↑,경기 성남시,~01/27(월)
153,대기업,상위권 금융사 자연어처리 연구개발,http://www.jobkorea.co.kr//Recruit/GI_Read/30374277?PageGbn=HH&logpath=1,경력2년↑,석사↑,서울 전지역 외,~12/27(금)
154,대기업,상위권 금융사 머신러닝/딥러닝 엔지니어(석박사),http://www.jobkorea.co.kr//Recruit/GI_Read/30374270?PageGbn=HH&logpath=1,경력2년↑,석사↑,서울 전지역 외,~12/27(금)
155,대기업,상위권 금융사 Data Scientist(석박사),http://www.jobkorea.co.kr//Recruit/GI_Read/30374268?PageGbn=HH&logpath=1,경력3년↑,석사↑,서울 전지역 외,~12/27(금)
156,대기업,통신대기업  Machine Vision S/W개발,http://www.jobkorea.co.kr//Recruit/GI_Read/30374250?PageGbn=HH&logpath=1,경력3년↑,석사↑,서울 전지역,~12/27(금)
157,벤처기업,"DevOps 경력자(팀장, 8년 이상)",http://www.jobkorea.co.kr//Recruit/GI_Read/30362268?PageGbn=HH&logpath=1,경력8년↑,대졸↑,서울 강남구,~12/26(목)
158,벤처기업,머신런닝 개발자(3년-5년),http://www.jobkorea.co.kr//Recruit/GI_Read/30362038?PageGbn=HH&logpath=1,경력3년↑,대졸↑,서울 강남구,~12/26(목)
159,중견기업(300명이상),[중견사] DevOps 총괄 팀장급,http://www.jobkorea.co.kr//Recruit/GI_Read/30353430?PageGbn=HH&logpath=1,경력8년↑,대졸↑,서울 강남구 외,~12/26(목)
160,중소기업(300명이하),[서울시 강남구] 데이터 사이언티스트 모집,http://www.jobkorea.co.kr//Recruit/GI_Read/30348494?PageGbn=HH&logpath=1,경력1년↑,학력무관,서울 강남구,~12/25(수)
161,중소기업(300명이하),[태양광 IT 기업] 딥러닝 영상처리 개발자 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30340554?PageGbn=HH&logpath=1,경력3년↑,석사↑,서울 전지역,~12/25(수)
162,중견기업(300명이상),[중견사]DevOps 총괄 팀장급,http://www.jobkorea.co.kr//Recruit/GI_Read/30340243?PageGbn=HH&logpath=1,경력8년↑,대졸↑,서울 강남구 외,~12/25(수)
163,대기업,긴급) 최고 대기업 - Machine Learning Engineer (팀장급) - 최우대,http://www.jobkorea.co.kr//Recruit/GI_Read/30337524?PageGbn=HH&logpath=1,경력4년↑,학력무관,서울 전지역,~12/24(화)
164,대기업,긴급) Machine Learning Engineer (팀장급) - 최고 대기업 - 최우대,http://www.jobkorea.co.kr//Recruit/GI_Read/30337496?PageGbn=HH&logpath=1,경력4년↑,학력무관,서울 전지역,~12/24(화)
165,대기업 계열사·자회사,10대 대기업 IT계열사 AI 기반 로봇 서비스 개발,http://www.jobkorea.co.kr//Recruit/GI_Read/30330070?PageGbn=HH&logpath=1,경력4년↑,대졸↑,서울 종로구,~12/22(일)
166,대기업,"AI 엔지니어  (CV,자연어처리)",http://www.jobkorea.co.kr//Recruit/GI_Read/30306705?PageGbn=HH&logpath=1,경력7년↑,석사↑,서울 중구,~12/20(금)
167,중견기업(300명이상),"중견기업 딥러닝,머신러닝,AI 개발 대리,과장,차장급 구함(굿커리어)",http://www.jobkorea.co.kr//Recruit/GI_Read/30298136?PageGbn=HH&logpath=1,경력3년↑,대졸↑,경기 전지역,~12/16(월)
168,중견기업(300명이상),"중견기업 영상처리 SW개발 대리,과장,차장급 구함(굿커리어)",http://www.jobkorea.co.kr//Recruit/GI_Read/30298062?PageGbn=HH&logpath=1,경력4년↑,대졸↑,경기 전지역,~12/16(월)
169,중견기업(300명이상),"초음파 진단기 알고리즘 연구개발 (머신러닝/딥러닝, 대리-과장급) - 초음파 진단기 생산기업",http://www.jobkorea.co.kr//Recruit/GI_Read/30292836?PageGbn=HH&logpath=1,경력3년↑,대졸↑,경기 안양시,~12/20(금)
170,대기업,인공지능(AI)전문가/국내대형보험회사,http://www.jobkorea.co.kr//Recruit/GI_Read/30289176?PageGbn=HH&logpath=1,경력,석사↑,서울 전지역,~12/19(목)
171,대기업,차량용 카메라 영상인식 SW개발 연구원 모집(7명모집),http://www.jobkorea.co.kr//Recruit/GI_Read/30287434?PageGbn=HH&logpath=1,경력1년↑,대졸↑,경기 성남시,~12/31(화)
172,대기업,긴급) 최고 대기업 - Tagging Engineer (3년 이상) - 최우대,http://www.jobkorea.co.kr//Recruit/GI_Read/30528769?PageGbn=HH&logpath=1,경력3년↑,학력무관,서울 전지역,~01/13(월)
173,대기업,긴급) Tagging Engineer (3년 이상) - 최고 대기업 - 최우대,http://www.jobkorea.co.kr//Recruit/GI_Read/30528763?PageGbn=HH&logpath=1,경력3년↑,학력무관,서울 전지역,~01/13(월)
174,대기업,긴급) 최고 대기업 - Google Analytics (3년 이상) - ASAP,http://www.jobkorea.co.kr//Recruit/GI_Read/30528738?PageGbn=HH&logpath=1,경력3년↑,학력무관,서울 전지역,~01/13(월)
175,대기업,"구로 위치 코스닥 상장, 온라인게임회사 DW, BI 엔지니어 대리-과장급",http://www.jobkorea.co.kr//Recruit/GI_Read/30498715?PageGbn=HH&logpath=1,경력4년↑,학력무관,서울 구로구,~01/10(금)
176,대기업 계열사·자회사,[대그룹 계열사] Vision 서비스 개발 경력직 채용,http://www.jobkorea.co.kr//Recruit/GI_Read/30479551?PageGbn=HH&logpath=1,경력4년↑,대졸↑,서울 종로구,~01/08(수)
177,중소기업(300명이하),[리메이크디지털] 프론트엔드 개발자(Frontend Engineer) 3년차 이상,http://www.jobkorea.co.kr//Recruit/GI_Read/30470501?PageGbn=HH&logpath=1,경력3년↑,초대졸↑,서울 강남구 외,~01/08(수)
178,대기업,긴급) 최고 대기업 - Google Analytics (3년 이상) 모집,http://www.jobkorea.co.kr//Recruit/GI_Read/30467501?PageGbn=HH&logpath=1,경력3년↑,학력무관,서울 전지역,~01/07(화)
179,대기업,긴급) 최고 대기업 - 태깅 데이터 관리 및 분석 (3년 이상) - ASAP,http://www.jobkorea.co.kr//Recruit/GI_Read/30467458?PageGbn=HH&logpath=1,경력3년↑,학력무관,서울 전지역,~01/07(화)
180,중소기업(300명이하),인공지능 대화엔진 챗봇 등 Sales Engineer,http://www.jobkorea.co.kr//Recruit/GI_Read/30465629?PageGbn=HH&logpath=1,경력3년↑,대졸↑,서울 서초구,~12/22(일)
181,중소기업(300명이하),BigData 통신 미들웨어 관련 프로젝트,http://www.jobkorea.co.kr//Recruit/GI_Read/30465616?PageGbn=HH&logpath=1,경력5년↑,대졸↑,서울 광진구,~12/22(일)
182,중견기업(300명이상),유명 Automotive 반도체 개발 프로세스 인증,http://www.jobkorea.co.kr//Recruit/GI_Read/30446589?PageGbn=HH&logpath=1,경력1년↑,대졸↑,서울 전지역,~01/04(토)
183,중견기업(300명이상),유명 Automotive 반도체 연구개발 및 지원(FAE),http://www.jobkorea.co.kr//Recruit/GI_Read/30446386?PageGbn=HH&logpath=1,경력2년↑,대졸↑,서울 전지역,~01/04(토)
184,중소기업(300명이하),"유명 영상,얼굴인식 회사 AI엔지니어",http://www.jobkorea.co.kr//Recruit/GI_Read/30446308?PageGbn=HH&logpath=1,경력1년↑,대졸↑,서울 전지역,~01/04(토)
185,중소기업(300명이하),[코스닥 상장기업] 보안솔루션 개발자 모집,http://www.jobkorea.co.kr//Recruit/GI_Read/30425167?PageGbn=HH&logpath=1,경력3년↑,대졸↑,서울 마포구,~12/16(월)
186,대기업,[주요SI대기업] 빅데이터 플랫폼구축 (대리-차장),http://www.jobkorea.co.kr//Recruit/GI_Read/30417070?PageGbn=HH&logpath=1,경력5년↑,대졸↑,서울 전지역,~01/01(수)
187,대기업,긴급) Web Tagging Engineer (3년 이상) - 최고 대기업 - 최우대,http://www.jobkorea.co.kr//Recruit/GI_Read/30375791?PageGbn=HH&logpath=1,경력3년↑,학력무관,서울 전지역,~12/28(토)
188,중견기업(300명이상),강소기업 데이터분석/관리도구개발(석사이상),http://www.jobkorea.co.kr//Recruit/GI_Read/30370809?PageGbn=HH&logpath=1,경력5년↑,석사↑,경기 용인시 외,~12/27(금)
189,중견기업(300명이상),강소기업 3D 영상처리 전문가(석사이상),http://www.jobkorea.co.kr//Recruit/GI_Read/30370719?PageGbn=HH&logpath=1,경력3년↑,석사↑,경기 용인시 외,~12/27(금)
190,벤처기업,유명 AI 개발사 영상관련 인공지능(AI) 엔지니어,http://www.jobkorea.co.kr//Recruit/GI_Read/30364153?PageGbn=HH&logpath=1,경력1년↑,대졸↑,서울 전지역,~12/26(목)
191,벤처기업,HPC 시스템/인프라 엔지니어(5년차 이상 ),http://www.jobkorea.co.kr//Recruit/GI_Read/30362169?PageGbn=HH&logpath=1,경력5년↑,대졸↑,서울 강남구,~12/26(목)
192,대기업,긴급) 최고 대기업 - Web Tagging Engineer (3년 이상) - ASAP,http://www.jobkorea.co.kr//Recruit/GI_Read/30337527?PageGbn=HH&logpath=1,경력3년↑,학력무관,서울 전지역,~12/24(화)
